GSM_ID,Group
GSM1945790_CD_ileum_active_40,CD
GSM1945779_CD_ileum_active_29,CD
GSM1945795_CD_ileum_active_45,CD
GSM1945792_CD_ileum_active_42,CD
GSM1945825_CD_ileum_inactive_75,CD
GSM1945803_CD_ileum_active_53,CD
GSM1945802_CD_ileum_active_52,CD
GSM1945771_CD_ileum_active_21,CD
GSM1945759_CD_ileum_active_9,CD
GSM1945770_CD_ileum_active_20,CD
GSM1945784_CD_ileum_active_34,CD
GSM1945835_controle_ileum_96,Control
GSM1945812_CD_ileum_inactive_62,CD
GSM1945772_CD_ileum_active_22,CD
GSM1945765_CD_ileum_active_15,CD
GSM1945800_CD_ileum_active_50,CD
GSM1945836_controle_ileum_97,Control
GSM1945787_CD_ileum_active_37,CD
GSM1945761_CD_ileum_active_11,CD
GSM1945830_controle_ileum_91,Control
GSM1945817_CD_ileum_inactive_67,CD
GSM1945783_CD_ileum_active_33,CD
GSM1945829_controle_ileum_90,Control
GSM1945810_CD_ileum_inactive_60,CD
GSM1945794_CD_ileum_active_44,CD
GSM1945823_CD_ileum_inactive_73,CD
GSM1945781_CD_ileum_active_31,CD
GSM1945788_CD_ileum_active_38,CD
GSM1945791_CD_ileum_active_41,CD
GSM1945769_CD_ileum_active_19,CD
GSM1945815_CD_ileum_inactive_65,CD
GSM1945824_CD_ileum_inactive_74,CD
GSM1945778_CD_ileum_active_28,CD
GSM1945834_controle_ileum_95,Control
GSM1945828_controle_ileum_89,Control
GSM1945777_CD_ileum_active_27,CD
GSM1945827_controle_ileum_88,Control
GSM1945785_CD_ileum_active_35,CD
GSM1945805_CD_ileum_active_55,CD
GSM1945760_CD_ileum_active_10,CD
GSM1945811_CD_ileum_inactive_61,CD
GSM1945799_CD_ileum_active_49,CD
GSM1945774_CD_ileum_active_24,CD
GSM1945821_CD_ileum_inactive_71,CD
GSM1945833_controle_ileum_94,Control
GSM1945782_CD_ileum_active_32,CD
GSM1945780_CD_ileum_active_30,CD
GSM1945816_CD_ileum_inactive_66,CD
GSM1945820_CD_ileum_inactive_70,CD
GSM1945766_CD_ileum_active_16,CD
GSM1945776_CD_ileum_active_26,CD
GSM1945798_CD_ileum_active_48,CD
GSM1945763_CD_ileum_active_13,CD
GSM1945762_CD_ileum_active_12,CD
GSM1945822_CD_ileum_inactive_72,CD
GSM1945806_CD_ileum_active_56,CD
GSM1945773_CD_ileum_active_23,CD
GSM1945814_CD_ileum_inactive_64,CD
GSM1945826_controle_ileum_87,Control
GSM1945807_CD_ileum_active_57,CD
GSM1945764_CD_ileum_active_14,CD
GSM1945832_controle_ileum_93,Control
GSM1945796_CD_ileum_active_46,CD
GSM1945831_controle_ileum_92,Control
GSM1945819_CD_ileum_inactive_69,CD
GSM1945797_CD_ileum_active_47,CD
GSM1945775_CD_ileum_active_25,CD
GSM1945786_CD_ileum_active_36,CD
GSM1945767_CD_ileum_active_17,CD
GSM1945793_CD_ileum_active_43,CD
GSM1945804_CD_ileum_active_54,CD
GSM1945809_CD_ileum_active_59,CD
GSM1945813_CD_ileum_inactive_63,CD
GSM1945789_CD_ileum_active_39,CD
GSM1945768_CD_ileum_active_18,CD
GSM1945818_CD_ileum_inactive_68,CD
GSM1945801_CD_ileum_active_51,CD
GSM1945808_CD_ileum_active_58,CD
